problem,matrix_role,physical_dimension,hhl_dimension,mu,tau,target_met,parameter_selection_method,selection_time_seconds,predicted_rhs_filter_relative_error,rmse,relative_solution_error,normalized_residual,tn_time_median_seconds,reference_time_median_seconds,tn_preprocessing_U_included,device
harmonic_oscillator,physical_hermitian_99x99,99,99,2000,3966.6280166708093,True,exact_spectral_benchmark_oracle,1.1800417000049492,0.0064608908480197486,0.05600316255738558,0.006460890847698553,0.004220847276202321,0.36720590000913944,4.630000330507755e-05,True,cpu
damped_oscillator,hermitian_embedding_198x198,99,198,4096,8892.098602882095,True,exact_spectral_benchmark_oracle,1.8890525000024354,0.006554797327624732,0.12519400761892657,0.006554797329374447,0.0019019842600669858,2.065912899997784,4.470000567380339e-05,True,cpu
heat_2d,physical_hermitian_400x400,400,400,1024,44.97941097041009,True,exact_spectral_benchmark_oracle,4.893547100000433,0.005181240333948046,0.018811599005609084,0.005181240333799563,0.0019750407192918283,2.0171440000121947,0.0005991999933030456,True,cpu
